"Data Table: Multiple sclerosis, Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'80+'","2014","0.13","0.13","0.14","2.43","1695","1266690",
"Canada","Both sexes","'80-84'","2014","0.16","0.15","0.17","3.24","955","594595",
"Canada","Both sexes","'85-89'","2014","0.13","0.12","0.14","4.43","510","396320",
"Canada","Both sexes","'90+'","2014","0.08","0.07","0.09","6.67","225","275770",
"Canada","Both sexes","'20+'","2015","0.27","0.27","0.27","0.40","61395","22762525",
"Canada","Both sexes","'20-34'","2015","0.09","0.09","0.09","1.38","5270","5980845",
"Canada","Both sexes","'20-24'","2015","0.02","0.02","0.03","4.66","460","1884155",
"Canada","Both sexes","'25-29'","2015","0.08","0.08","0.09","2.46","1650","2030915",
"Canada","Both sexes","'30-34'","2015","0.15","0.15","0.16","1.78","3165","2065775",
"Canada","Both sexes","'35-49'","2015","0.30","0.29","0.30","0.75","17575","5944900",
"Canada","Both sexes","'35-39'","2015","0.24","0.23","0.25","1.46","4695","1960575",
"Canada","Both sexes","'40-44'","2015","0.30","0.29","0.30","1.32","5775","1956400",
"Canada","Both sexes","'45-49'","2015","0.35","0.34","0.36","1.19","7105","2027925",
"Canada","Both sexes","'50-64'","2015","0.42","0.41","0.42","0.63","25400","6116000",
"Canada","Both sexes","'50-54'","2015","0.40","0.39","0.41","1.06","8850","2218430",
"Canada","Both sexes","'55-59'","2015","0.42","0.42","0.43","1.06","8890","2095090",
"Canada","Both sexes","'60-64'","2015","0.43","0.42","0.43","1.14","7665","1802485",
"Canada","Both sexes","'65-79'","2015","0.33","0.33","0.34","0.94","11360","3427950",
"Canada","Both sexes","'65-69'","2015","0.38","0.37","0.39","1.31","5845","1541635",
"Canada","Both sexes","'70-74'","2015","0.33","0.32","0.34","1.67","3565","1083685",
"Canada","Both sexes","'75-79'","2015","0.24","0.23","0.25","2.26","1950","802625",
"Canada","Both sexes","'80+'","2015","0.14","0.13","0.14","2.37","1785","1292825",
"Canada","Both sexes","'80-84'","2015","0.17","0.16","0.18","3.15","1010","601890",
"Canada","Both sexes","'85-89'","2015","0.13","0.12","0.14","4.39","520","407280",
"Canada","Both sexes","'90+'","2015","0.09","0.08","0.10","6.39","245","283645",
"Canada","Both sexes","'20+'","2016","0.27","0.27","0.28","0.40","63390","23129855",
"Canada","Both sexes","'20-34'","2016","0.09","0.09","0.09","1.37","5335","6046015",
"Canada","Both sexes","'20-24'","2016","0.02","0.02","0.03","4.71","450","1874210",
"Canada","Both sexes","'25-29'","2016","0.08","0.08","0.08","2.46","1655","2065850",
"Canada","Both sexes","'30-34'","2016","0.15","0.15","0.16","1.76","3230","2105955",
"Canada","Both sexes","'35-49'","2016","0.30","0.29","0.30","0.75","17845","5999560",
"Canada","Both sexes","'35-39'","2016","0.24","0.23","0.24","1.45","4770","2008115",
"Canada","Both sexes","'40-44'","2016","0.30","0.29","0.31","1.31","5835","1956400",
"Canada","Both sexes","'45-49'","2016","0.36","0.35","0.36","1.18","7235","2035040",
"Canada","Both sexes","'50-64'","2016","0.42","0.42","0.43","0.62","26045","6183665",
"Canada","Both sexes","'50-54'","2016","0.41","0.40","0.41","1.06","8835","2181135",
"Canada","Both sexes","'55-59'","2016","0.43","0.42","0.44","1.05","9150","2136310",
"Canada","Both sexes","'60-64'","2016","0.43","0.42","0.44","1.11","8060","1866220",
"Canada","Both sexes","'65-79'","2016","0.34","0.34","0.35","0.90","12280","3572415",
"Canada","Both sexes","'65-69'","2016","0.39","0.38","0.40","1.28","6085","1564440",
"Canada","Both sexes","'70-74'","2016","0.34","0.33","0.35","1.57","4035","1174970",
"Canada","Both sexes","'75-79'","2016","0.26","0.25","0.27","2.15","2160","833000",
